DOI,Species,Source Cell Type,Target Cell Type,"Duration, d","name of chemical 1,CID 1;name of chemical 2,CID 2",Medium,Growth Factors,Initial Culture (text),MoA chem 1; MoA chem 2,TFs/miRNA,Title,Assocoated Data,Yield (%),Comment on Yield,Type,Comment,"Authors;sorted=""Reverse"";sep=;",Stress factors
10.1007/s12015-013-9482-z,Homo sapiens,Pluripotent Stem Cells,Induced Neural Precursors,12,"SB431542,4521392;LDN193189,25195294","KO-DMEM/SR medium (KO-DMEM, 20 % KO-SR, 1 % MEM-non essential amino acids, 1mML-Glutamine, 0.1mM β–Mercaptoethanol and 1 % Penicillin/Streptomycin) supplemented with ROCK inhibitor; mTeSR1 medium; DMEM/F12/N2 medium (DMEM-F12, supplemented with 1 % N2, 1.6 g/L Glucose, 1 % Penicillin/Streptomycin, and 20 μg/mL Insulin)",,"Model hPSC-Lines and Culture Conditions The hiPSC-line (iLB-C1-30 m-r12) and the iLB-C1-30 m-r12-derivedlong-term self-renewing neuroepithelial-like stem cell line(lt-NES®: iLB-C1-30 m-r12) were derived at Prof. OliverBrüstle laboratory (University of Bonn), and the hESC-line(BG01V/hOG - hOct4-GFP) was obtained from Invitrogen",Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of TGF-beta/Smad signaling,_,Integrated Platform for Production and Purification of Human Pluripotent Stem Cell-Derived Neural Precursors,_,80.4,kinetic and phenotype analysis,1,_,Joaquim M. S. Cabral; Oliver Brüstle; Maria Margarida Diogo; Simone Haupt; Michael Peitz; Carlos A. V. Rodrigues; Tiago G. Fernandes; Andreia F. S. Matos;Gonçalo M. C. Rodrigues,_
10.1007/s12015-013-9493-9,Homo sapiens,Induced Neural Stem Cells,Induced Dopaminergic Neurons ,20,"IWP-4,2155264;SB431542,4521392;LDN193189,25195294","NP2 medium consisted of D-MEM/F-12/GlutaMAX, 1x Pen/Strep, FBS (1 %); ITS+3 or SITE+3, β-mercaptoethanol (10 μM), Heparin (2 μg/ml); EGF (20 ng/ml); rhFGF2 (10 ng/ml) and NT-3 (10 ng/ml); DMEM-F12-Glutamax medium that was supplemented with 1 % fetal bovine serum (FBS; where indicated), penicillin/streptomycin, SHH-C24II (500 ng/ml; 100 ng/ml), FGF8b (10 ng/ml), rhGDNF (5 ng/ml), rhBDNF (20 ng/ml), db c-AMP (1 mM) 2-phospho-L-ascorbic acid (200 μM), and CHIR99021 (0.5 μM; where indicated), B27 (minus vitamin A) supplement, brain derived neurotrophic factor (rhBDNF, 20 ng/ml), glial cell line derived factor (GDNF, 5 ng/ml), 2-phospho-L-ascorbic acid and dibutyryl cyclic AMP (db c-AMP; 100–500 μM). The WNT inhibitor, IWP-4 [ref 37] (100 nM days 4–6; 1 μM thereafter), SB431542 (10 μM) and LDN193189 (100 nM) were added as indicated. ","SHH-C24II (500 ng/ml, 100 ng/ml); FGF8b (10 ng/ml); rhGDNF (5 ng/ml); rhBDNF (20 ng/ml)",De-identified pubic hairy skin biopsies were obtained with ethical approval (REC REF: 08/H0907/1) from consenting individuals undergoing repeat elective Caesarean sections. ,Inhibitor of the WNT pathway;Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of TGF-beta/Smad signaling,_,Differentiation of Human Epidermal Neural Crest Stem Cells (hEPI-NCSC) into Virtually Homogenous Populations of Dopaminergic Neurons,GSE42678,83.2,spontaneous Ca2+ activity in the form of brief spatially restricted elevations,1,_,Maya Sieber-Blum;Michael J. Taggart;Oliver Clewes;Michele Sweeney;Andrew Loughney;Bernard Verdon;Alla Narytnyk,_
10.1186/scrt423,Homo sapiens,Induced Pluripotent Stem Cells,Induced Neuronal Progenitor Cells,40,"SB431542,4521392;Dorsomorphin,11524144","knockout medium containing knockout DMEM, 20% knockout serum replacement, 0.1 mM MEM nonessential amino acids, 2 mM glutamax and 0.1 mM β-mercaptoethanol supplemented with 10 μM SB 431542 (SB, Biomol, Hamburg, Germany) and 1 μM DM (R&D Systems, Wiesbaden-Nordenstadt, Germany). On day four, the medium was changed to DMEM/F12 consisting of glutamax, N2 supplement, 10 μM SB, 1 μM DM, 0.6 μM purmorphamine (PMA, Biomol) and 100 ng/ml fibroblast growth factor 8 (FGF8). After six days, SB and DM were withdrawn. After six additional days in suspension, EBs were attached to poly-L-ornithine (20 μg/ml)/laminin (10 μg/ml)-coated cell culture plates and cultured in Neurobasal medium supplemented with glutamax, N2, B27 minus AO, 20 ng/ml BDNF, 20 ng/ml GDNF, 25 ng/ml TGFβ3, 200 μM 2-phospho-L-ascorbic acid (Sigma-Aldrich) and 1 mM cAMP (Sigma-Aldrich) for up to 30 days.",FGF8,hCBiPSC,"Inhibitor of the Activin/BMP/TGF-β pathway;Inhibitor of ALK2, ALK3, ALK6 and AMPK",Oct4; SOX2; NANOG; LIN28,Functional differentiation of midbrain neurons from human cord blood-derived induced pluripotent stem cells,_,44,sodium inward currents,1,_,Florian Wegner; Reinhard Dengler ; Andreas Leffler; Maximilian Naujock; Ulrich Martin; Alexandra Haase;Nancy Stanslowsky,_
10.1210/en.2012-1060,Homo sapiens,Embryonic Stem Cells,Induced Steroid-Producing Cells,21,"Retinoic acid,444795","Maintenance medium: 77% DMEM/F12 medium, 20% knockout serum replacement, 1% nonessential amino acids, 1% penicillin/streptomycin, 2 mML-glutamine, and 0.1 mM β-mercaptoethanol]","Activin,FGF2;BMP4;FGF10",Two human ES cell lines (H9 and KhES1) and one human iPS cell line (201B7),Agonist of a retinoic acid receptor,Oct3/4; Sox2; Klf4; c-Myc,Differentiation of Human Embryonic Stem Cells and Human Induced Pluripotent Stem Cells into Steroid-Producing Cells,_,_,"mRNA encoding adrenal cortical or gonad-specific steroidogenic enzymes, such as CYP17A1, CYP21A2, and CYP11B1 and produced steroid hormones such as progesterone, corticosterone, and cortisol.",2,_,Kazuwa Nakao; Naohisa Tamura; Naotetsu Kanamoto; Megumi Inuzuka; Katsutoshi Kojima; Daisuke Taura; Kyoko Honda; Masakatsu Sone;Takuhiro Sonoyama,_
10.1002/stem.1152,Homo sapiens,Embryonic Stem Cells;Induced Pluripotent Stem Cells,Induced Dopamine Neurons,12,"CHIR99021,9956119","Dulbecco's modified Eagle's medium/F12, N2 supplement, nonessential amino acids, and heparin in the presence of SB431542 (10 μM) and LDN193189 (200 nM, both from Stemgent). To pattern the differentiating cells to the midbrain FP progenitors, SHH (C25II, 500  ng/ml, R&D Systems, and CHIR99021 were added to the cultures from day 1 for 8 days.",FGF8 (100 ng/ml); transforming growth factor β3 (1 ng/ml),"Primate ESCs and iPSCs Human ESCs (WA09, passages 23‐45) and iPSCs (IMR90‐4, passages 45‐55)",Inhibitor of GSK3β,FoxG1,Specification of Midbrain Dopamine Neurons from Primate Pluripotent Stem Cells,_,96.7,TH‐positive neurons coexpressed FoxA2,2,_,Su‐Chun Zhang; Marina E. Emborg; Hong Chen; Huisheng Liu; Yan Liu;Jiajie Xi,_
10.1021/cn300029t,Homo sapiens,Induced Pluripotent Stem Cells,Induced Dopamine Neurons,21,"DMH1,50997747;SB431542,4521392","DMEM medium containing 10% FBS, penicillin/streptomycin, nonessential amino acids; hES medium (DMEM/F12, 20% Knockout serum replacement, 2 mM Glutamax, nonessential amino acids, penicillin/streptomycin, 55 μM β-mercaptoethanol, recombinant human FGF-2); mTeSR1 medium; neuralization medium (Knockout DMEM/F12, 15% KSR, glutamax, penicillin/streptomycin, nonessential amino acids, and 55 μM β-mercaptoethanol containing 10 μM of SB431542 Noggin or DMH1; N2-medium (DMEM/F12, N2 supplement, and high D-glucose 4.5 g/L) ",BDNF (20 ng/mL); recombinant human GDNF (20 ng/mL); recombinanthuman TGFβ-3 (1 ng/mL),Skin biopsies (3 mm) were obtained from four different subjects for the purpose of generating hiPSCs ,Inhibitor of the BMP;Inhibitor of the Activin/BMP/TGF-β pathway,Oct4; SOX2; KLF4; cMYC,"DMH1, a Highly Selective Small Molecule BMP Inhibitor Promotes Neurogenesis of hiPSCs: Comparison of PAX6 and SOX1 Expression during Neural Induction",_,100,PAX6 positive cells,2,_,Aaron B. Bowman; Kevin C. Ess; Charles C. Hong; Reed Chamberlin; Corey R. Hopkins; Asad A. Aboud; Gary G. Li; Andrew M. Tidball; Michael J. Litt;M. Diana Neely,_
10.1038/cr.2011.195,Homo sapiens;Mus musculus,Induced Pluripotent Stem Cells,Induced Cardiac Progenitor Cells,30,"Vitamin C,54670067","ESC medium containing 15% FBS, 1 μmol/l non-essential amino acids, 1 mmol/l Glutamine, 100 μmol/l β-mercaptoethanol, 50 U/ml penicillin, and 50 mg/ml streptomycin on mitomycin-C-treated mouse embryonic fibroblast (MEF) feeder layers in the presence of leukemia inhibitory factor (1 000 U/ml); medium containing 2.5% Knockout Serum Replacement; medium without bFGF; differentiation medium containing 20% FBS",,"MEFs, NPCs, Meningeal cells, AFDCs",_,_,2-phospho-L-ascorbic acid enhances the cardiac differentiation of induced pluripotent stem cells through promoting the proliferation of cardiac progenitor cells,_,86,expressed SSEA1,1,_,Huang-Tian Yang; Ying Jin; Liu Wang; Bin Wei; Jiuhong Kang; Lianju Qin; Yu Ma; Xiaoyang Zhao; Taotao Chen; Jia Wang; Zhongyan Chen; Zumei Liu;Nan Cao,_
10.1016/j.yjmcc.2011.04.012,Homo sapiens,Induced Pluripotent Stem Cells,Induced Cardiomyocytes,24,"IWR1,3137736",Undifferentiated ES culture medium. Differentiation medium.,BMP-4,human ES and iPS cells,Inhibitor of WNT pathway,BrachyuryT; mesoderm posterior 1 (MESP1),Small molecule Wnt inhibitors enhance the efficiency of BMP-4-directed cardiac differentiation of human pluripotent stem cells,_,39,beating EB,2,_,YibingQyanga; Barbara E.Ehrlich; Lawrence Lum; GrantSenyei; ShenjunZhu;MingyuYe; Xin Ge; Peter J.Amos; JerePaavola; SimonSchliffke; Min YoungLee;YongmingRen,_
10.1007/s00125-011-2246-x,Macaca mulatta,Induced Pluripotent Stem Cells,Induced Pancreatic Beta Cells,21,"SB431542,4521392","RPMI1640, DF12 and DMEM, were all supplemented with 2 mmol/l Glutamax, 0.1 mmol/l non-essential amino acids, 55 μmol/l beta-mercaptoethanol and penicillin/streptomycin. DF12 and DMEM were also supplemented with 1% B27",50 ng/ml keratinocyte growth factor KGF; 50 ng/ml EGF; 50 ng/ml hepatocyte growth factor HGF; 50 ng/ml IGF1,RM iPSC R14 and R19 cell lines,Inhibitor of the Activin/BMP/TGF-β pathway,octamer binding protein (OCT)3/4; SRY-box containing gene (SOX)2; Kruppel-like factor 4 (KLF4); c-MYC,Generation of pancreatic insulin-producing cells from rhesus monkey induced pluripotent stem cells,_,85,insulin-producing cells,2,_,H. Deng; M. X. Ding; Y. Shi; T. T. Xiang; M. Yin; X. Sui; D. H. Zhang; P. B. Zhang;F. F. Zhu,_
10.1038/nbt.1788,Homo sapiens,Induced Pluripotent Stem Cells,Induced Anterior Foregut Endoderm,19,"SU 5402,5289418;Cyclopamine,442972;AG-1478,2051;WP 1066,11210478","DMEM/F12, 20% knockout serum replacement, 0.1 mM β-mercaptoethanol, and 20 ng/ml FGF-2; DMEM/F12 supplemented with N2, B27, 2-phospho-L-ascorbic acid (50 μg/ml), Glutamax (2 mM), monothioglycerol (0.4 μM)",human BMP-4; 1 ng/ml and 10 ng/ml; human bFGF; 2.5 ng/ml; human activin A; 100 ng/ml; human Noggin; 200 ng/ml; Y-27632; 1 μM; SB431542; 10 μM; human FGF10; 10 ng/ml; human FGF7; 10 ng/ml; murine EGF 20 ng/ml; and human WNT3a; 100 ng/ml; BMP-4; 50 ng/ml; bFGF; 10 ng/ml; VEGF; 10 ng/ml; HGF; 10 ng/ml; TGFα; 20 ng/ml; dexamethasone; 40 ng/ml,"hESC (HES2, National Institutes of Health code ES02 from ES Cell International; passages 25–33); HDF2 and HDF9, hiPS cell lines","Inhibitor of VEGFR2, FGFR1 and PDGFRB;Inhibitor of the Smoothened (SMO);Inhibitor of the epidermal growth factor receptor;Inhibitor of the JAK2 and STAT3",SOX17; FOXA2,Generation of anterior foregut endoderm from human embryonic and induced pluripotent stem cells,_,95,"definitive endoderm markers CXCR4, c-KIT and EPCAM",2,_,Hans-Willem Snoeck; Gordon Keller; Valerie Gouon-Evans; Ihor R Lemischka; Christoph Schaniel; Sunita L d'Souza; Maria-Cristina Nostro; Antonia Chen;Michael D Green,_
10.1093/cvr/cvu023,Mus musculus,Fibroblast,Induced Cardiomyocytes,14,"GSK126,68210102;UNC0638,46224516",culture medium of fibroblasts,,fibroblasts from the heads of day 13.5 mouse embryos,Inhibitor of the EZH2 methyltransferase;Inhibitor of the G9a and GLP histone methyltransferase,Gata4; Hand2; Tbx5,Inhibitors of suppressive histone modification promote direct reprogramming of fibroblasts to cardiomyocyte-like cells,_,23,beat spontaneously (The prevalence of cells that showed beating or oscillation of fluorescence was calculated by dividing the  number of these cells by the number of nuclei detected by the Hoechst dye),2,_,Nobuaki Kikyo;Hiroyuki Hirai,_
10.1126/science.aaf1502,Homo sapiens,Fibroblast,Induced Cardiomyocytes,20,"CHIR99021,9956119;A83-01,16218924;Pluripotin,12003241;OAC2,2814138;Y-27632,448042;BIX01294,25150857;AS8351,135400486;SU16F,5329150;JNJ10198409,9797370",optimized cardiac induc-tion medium (CIM); human CM–conditioned medium,vascular endothelial growth factor,established human foreskin fibroblast (HFF) line that contains no cardiac cells,"Inhibitor of GSK3β;Inhibitor of ALK4, ALK5, ALK7 (activin receptor-like kinases);Inhibitor of the RasGAP and ERK1;_;Inhibitor of ROCK1 and ROCK2;Inhibitor of the G9a histone methyltransferase;Inhibit of the histone demethylase KDM5B;Platelet-derived growth factor receptor (PDGFR)-β inhibition;_",_,Conversion of human fibroblasts into functional cardiomyocytes by small molecules,_,97,spontaneously beat and uni-formly expressed multiple cardiac structural proteins,1,_,Sheng Ding; Deepak Srivastava; Guilai Shi; Tao Xu; Tianhua Ma; Haixia Wang; Mingliang Zhang; Min Xie; Baoming Nie; Ji-Dong Fu; Yu Zhang; C. Ian Spencer; Jiashun Zheng; Yu Huang;Nan Cao,_
10.1007/s12015-013-9477-9,Sus scrofa,Fibroblast,Induced Pancreatic Beta Cells,102,"5-Aza-2'-deoxycytidine,9444","DMEM with 20 % FBS, 2 mM glutamine and antibiotics; 0.1 % gelatin, 1 μM 5-aza-CR; ESC culture medium; N2B27 medium with 0.1 mM β- mercaptoetanol, 2 mM glutamine, 1 mM MEM Non-Essential Amino Acids, 0.5 % (w/v) bovine serum albumin, 30 ng/ml activinA, 10 μM Retinoic acid; 1 % B27, 20 ng/ml basic fibroblast growth factor, 1 % insulintransferrin-selenium",basic fibroblast growth factor 20 ng/ml,Primary porcine skin fibroblast cultures were established from fresh biopsies,Inhibitor of DNA methylation,_,Reprogramming of pig dermal fibroblast into insulin secreting cells by a brief exposure to 5-aza-cytidine,_,38.1,counting insulin labeled cells with a flow cytometer,1,_,F. Gandolfi; T. A. L. Brevini ; M. M. Rahman; M. Campagnol; S. Maffei;G. Pennarossa,_
10.1007/978-1-4939-0512-6_18,Mus musculus,Fibroblasts,Induced Cardiomyocytes,21,"JAK inhibitor I,5494425",Fibroblast culture medium—Dulbecco’s Modifi ed Eagle’s Medium supplemented with 15 % fetal bovine serum (not heat deactivated) and 1 % penicillin–streptomycin (100 U/mL penicillin and 100 μg/mL streptomycin fi nal concentration) ,,"From 1- to 2-day-old neonatal mouse pups, remove ventricles under sterile conditions and then wash briefl y in PBS. ",JAK inhibitor,_,Direct reprogramming of cardiac fibroblasts to cardiomyocytes using microRNAs,_,5.28,the expression of calcium signaling properties,2,_,Tilanthi JayawardenaMaria MirotsouVictor J. Dzau,_
10.1016/j.scr.2013.09.007,Mus musculus,Fibroblasts,Induced Dopaminergic Neuronal Progenitors,13,"JAK inhibitor I,5494425","Dulbecco's modified Eagle's medium (DMEM) containing 10% FBS, 1% nonessential amino acids (NEAA), and 1% penicillin/streptomycin; reprogramming initiation medium containing 10% knock-out serum replacer, 5% FBS, 1% NEAA, 2 mM Glutamax, and 0.055 mM  β-mercaptoethanol in knock-out DMEM RepM-DP containing 1x N2, 1x B27,0.05% BSA, 2 mM Glutamax, 0.11 mM β-mercaptoethanol, 200 ng/mL SHH, and 100 ng/mL FGF8b in advanced DMEM/F12 and neurobasal medium (1:1 mix); differentiation medium containing 1x N2, 1x B27, 1.0 mM Glutamax, 0.11 mM β-mercaptoethanol, 1.0 mM dibutyryl-cAMP , 0.2 mM 2-phospho-L-ascorbic acid, 10 ng/mL brain-derived neurotrophic factor (BDNF), 10 ng/mL glial cell line-derived neurotrophic factor (GDNF) in DMEM/F12",FGF2; EGF; FGF4; SHH; FGF8; BDNF; GDNF,mouse adult tail-tip fibroblasts (TTFs),JAK inhibitor,Oct4; Sox2; Klf4; c-Myc induction,Direct Lineage Reprogramming of Mouse Fibroblasts to Functional Midbrain Dopaminergic Neuronal Progenitors,_,42,"Under a currentclamp configuration, depolarizing current injections with 10-pA steps induced action potentials (APs) of recorded cells",2,_,Yee SookCho; DaejongJeon; YeonjuJo; JanghwanKimab;Han-SeopKima,_
10.1073/pnas.1200250109,Homo sapiens,Induced Pluripotent Stem Cells;Embryonic Stem Cells,Induced Cardiomyocytes,30,"CHIR99021,9956119;BIO,448949","hESC medium: DMEM/F12 culture medium 20%, KnockOut serum replacer, 0.1 mM nonessential amino acids, 1 mM l-glutamine, 0.1 mM β-mercaptoethanol, and 10 ng/mL human bFGF; mTeSR1 medium; RPMI/B27-insulin medium 5 ng/mL BMP4, 5 μM IWP2",,"Transgene-free human iPSCs (6-9-9 and 19-9-11), lentiviral integrated human iPSC (IMR90C4), and hESCs (H9, H13, H14)",Inhibitor of GSK3β;Inhibitor of GSK3,_,Robust cardiomyocyte differentiation from human pluripotent stem cells via temporal modulation of canonical Wnt signaling,_,98,contracted spontaneously as coordinated sheets,1,_,Cozzarelli Prize Winner; S. P.; Palecek; S. M.; Azarin; L. B.; Hazeltine; K.; Zhu; G.; Wilson; C.; Hsiao; X.;Lian,_
