cid,link,name,Synonyms,MOA
135400486,https://pubchem.ncbi.nlm.nih.gov/compound/135400486,AS8351,"796-42-9;AS8351;AS-8351;N'-[(2-hydroxy-1-naphthyl)methylene]isonicotinohydrazide;(e)-n'-((2-hydroxynaphthalen-1-yl)methylene)isonicotinohydrazide;NSC51355;N'-[(2-hydroxynaphthalen-1-yl)methylidene]pyridine-4-carbohydrazide;SCHEMBL800974;CHEMBL390195;s5772;STK037070;ZINC16525821;AKOS001279162;CS-7838;MCULE-5009226404;NE57591;ST009583;AS8351, >=98% (HPLC);HY-100744;EN300-55000;A16371;2-Hydroxy-1 Naphthylaldehydeisonicotinoyl Hydrazone;2- HYDROXY-1-NAPHTHALDEHYDE-ISONICOTINOYLHYDRAZONE;Isonicotinic acid, [(2-hydroxy-1-naphthalenyl)methylene]hydrazide;N-[(1E)-2-(2-hydroxynaphthyl)-1-azavinyl]-4-pyridylcarboxamide;N-[(E)-(2-hydroxy-1-naphthyl)methyleneamino]pyridine-4-carboxamide;N'-[(E)-(2-hydroxynaphthalen-1-yl)methylidene]pyridine-4-carbohydrazide;N'~4~-[(E)-1-(2-hydroxy-1-naphthyl)methylidene]isonicotinohydrazide;329183-01-9",Inhibit of the histone demethylase KDM5B
25099184,https://pubchem.ncbi.nlm.nih.gov/compound/25099184,AZ 960,,Inhibitor of JAK2
2303,https://pubchem.ncbi.nlm.nih.gov/compound/2303,Bay k 8644,"71145-03-4;Bay K 8644;(�)-BAY K 8644;BAY-K-8644;methyl 2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3-carboxylate;BayK8644;BAYK 8644;Bay K8644;C16H15F3N2O4;MLS000028858;3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, methyl ester;(�)-Bay K8644;Bay-K-8644 (S)-(-)-;SMR000058424;Methyl 2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-1,4-dihydropyridine-3-carboxylate;1,4-Dihydro-2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-3-pyridinecarboxylic acid, methyl ester;3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-, methyl ester;SR-01000075305;methyl (4S)-2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-1,4-dihydropyridine-3-carboxylate;CHEMBL283013;BAY K-8644;Bay-K-8644 (R)-()-;Bay-K-8644, (+)-Isomer;R()-BAY K 8644;Opera_ID_789;CBiol_001744;Lopac0_000186;BSPBio_001578;MLS001148586;MLS002153190;SCHEMBL133106;(y)-Bay K 8644;GTPL2511;CHEMBL1322959;SCHEMBL14612812;CHEBI:34555;CTK2H8725;DTXSID00913080;CHEBI:131345;BAY-R 4407;BAY-R 5417;Bio1_000030;Bio1_000519;Bio1_001008;HMS1791O20;HMS1989O20;HMS2231A11;HMS2232B12;HMS3260F13;HMS3268C13;HMS3370M19;HMS3371N20;HMS3402O20;HMS3412J07;HMS3676J07;(?)-Bay K 8644;AOB33740;BCP15942;BCP23924;BCP24795;EX-A3340;KS-000018EV;Tox21_500186;BDBM50035800;BN0100;CA-410;HSCI1_000381;s7924;STL213543;AKOS015858973;(�)-BAYK8644;CCG-204281;LP00186;MCULE-8564076696;SDCCGSBI-0050174.P002;3-pyridine carboxylic acid methyl ester;( inverted question mark)-Bay K 8644;NCGC00015124-03;NCGC00015124-04;NCGC00015124-05;NCGC00015124-06;NCGC00015124-07;NCGC00015124-08;NCGC00025209-02;NCGC00025209-03;NCGC00025209-04;NCGC00025209-05;NCGC00025209-06;NCGC00260871-01;1,4-Dihydro-2,6-dimethyl-5-nitro-4-[2&prime;-(trifluoromethyl)phenyl]-3-pyridinecarboxylic Acid Methyl Ester;AK548173;AS-16745;SMR001230679;(�)-BAY K-8644;(�)-BAY-K-8644;NCG-C00025209-02;DS-017737;LS-178346;LS-184293;AM20080536;B-112;EU-0100186;FT-0742944;(�)-Bay K8644, calcium channel agonist;BAY K 8644, (�)-;C13758;Q4874027;SR-01000075305-1;SR-01000075305-3;BRD-A05457250-001-03-5;BRD-A05457250-001-04-3;1,4-Dihydro-2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)-phenyl]-;BAYK 8644; BAYK8644; BAYK-8644;Bay K8644;Bay K 8644;(S)-2,6-Dimethyl-5-nitro-4-(2-trifluoromethyl-phenyl)-1,4-dihydro-pyridine-3-carboxylic acid methyl ester;3-Pyridinecarboxylic acid,1,4-dihydro-2,6-dimethyl-5-nitro-4-[2-(trifluoromethyl)phenyl]-,methyl ester;93468-89-4",Inhibitor of the L-type calcium channel
82146,https://pubchem.ncbi.nlm.nih.gov/compound/82146,Bexarotene,"Bexarotene;153559-49-0;Targretin;Targrexin;Targretyn;LGD 1069;LGD1069;Bexaroten;LG100069;LGD-1069;UNII-A61RXM4375;LG 1069;HSDB 7453;4-[1-(3,5,5,8,8-pentamethyl-6,7-dihydronaphthalen-2-yl)ethenyl]benzoic acid;p-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid;4-[1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)ethenyl]benzoic acid;166175-31-1;CHEMBL1023;LG 100069;LG-100069;Targret;CHEBI:50859;A61RXM4375;4-(1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)vinyl)benzoic acid;4-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthalenyl)ethenyl)benzoic acid;NCGC00181016-01;AK-64115;SR 11247;4-[1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)vinyl]benzoic acid;4-[1-(5,6,7,8-tetrahydro-3,5,5,8,8-pentamethyl-2-naphthalenyl)ethenyl]benzoic acid;DSSTox_CID_20619;DSSTox_RID_79514;DSSTox_GSID_40619;Bexarotene [USAN];bexaroteno;bexarotenum;4-[1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydro-naphthalen-2-yl)-vinyl]-benzoic acid;4-[1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydro-naphthalen-2-yl)-vinyl]benzoic acid;Benzoic acid, 4-(1-(5,6,7,8-tetrahydro-3,5,5,8,8-pentamethyl-2-naphthalenyl)ethenyl)-;Targretin (TN);CAS-153559-49-0;SR-05000001480;Bexarotene [USAN:INN:BAN];LG 69;LG1069;Ro 26-4455;4k6i;Bexarotene oral(targretin);SCHEMBL9025;BIDD:PXR0021;cc-197;MLS006010146;Bexarotene (JAN/USAN/INN);GTPL2807;Bexarotene, >=98% (HPLC);DTXSID1040619;CTK8E7385;AOB1247;QCR-117;NAVMQTYZDKMPEU-UHFFFAOYSA-N;HMS2089L14;HMS3655D19;HMS3747C21;4-[1-(1,1,4,4,7-pentamethyltetralin-6-yl)vinyl]benzoic acid;ACT03911;BCP04099;KS-00000NW6;ZINC1539579;Tox21_112666;Tox21_302407;BDBM50032675;BG0619;DL-298;MFCD00932428;NSC747528;s2098;AKOS015902814;Tox21_112666_1;BCP9000396;CCG-221823;CS-0626;DB00307;MCULE-3783114634;NSC-747528;SB17341;SS-4628;4-[1-3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydro-2-naphthaleneyl)vinyl]benzene carboxylic acid;NCGC00181016-02;NCGC00181016-03;NCGC00181016-04;NCGC00181016-08;NCGC00255426-01;AC-24569;AT-22934;HY-14171;LS-38306;SC-19638;SC-50515;SMR001614557;BCP0726000106;AB0009892;FT-0657110;FT-0702645;SW203810-3;D03106;W-5228;42161-EP2295426A1;42161-EP2295427A1;42161-EP2298768A1;42161-EP2308861A1;42161-EP2311808A1;42161-EP2311829A1;42161-EP2311840A1;AB01275475-01;AB01275475_02;559B490;A809441;Q418192;J-009026;J-519847;SR-05000001480-1;SR-05000001480-2;BRD-K92441787-001-02-5;4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid;4-[1-(5,6,7,8-TETRAHYDRO-3,5,5,8,8-PENTAMETHYL-2-N;4-[1-(3,5,5,8,8-Pentamethyl-2-5,8-dihydronaphthyl)vinyl]benzoic acid;4-[1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydro-2-naphthyl)ethenyl]benzoic acid;4-[1-(3,5,5,8,8-pentamethyl-5,6,7,8-tetrahydronaphthalen-2-yl)-vinyl]benzoic acid;4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid;4-[1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthalenyl)-1-ethenyl]benzoic acid;Benzoic acid,6,7,8-tetrahydro-3,5,5,8,8-pentamethyl-2-naphthalenyl)ethenyl]-",Activator of the retinoid X receptors
448949,https://pubchem.ncbi.nlm.nih.gov/compound/448949,BIO,"667463-62-9;BIO;GSK-3 Inhibitor IX;6-BROMOINDIRUBIN-3'-OXIME;6-bromoindirubin-3-oxime;6BIO;6-BIO;GSK 3 Inhibitor IX;(2'Z,3'E)-6-Bromoindirubin-3'-oxime;GSK-3 Inhibitor IX (BIO);(2Z,3E)-6-Bromoindirubin-3'-oxime;CHEBI:86290;(3E)-6'-BROMO-2,3'-BIINDOLE-2',3(1H,1'H)-DIONE 3-OXIME;(2Z,3E)-6'-bromo-2,3'-biindole-2',3(1H,1'H)-dione 3-oxime;BRW;C16H10BrN3O2;6-bromo-3-[3-(hydroxyamino)-2-indolylidene]-1H-indol-2-one;2H-Indol-2-one,6-bromo-3-[(3E)-1,3-dihydro-3-(hydroxyimino)-2H-indol-2-ylidene]-1,3-dihydro-,(3Z)-;InSolution&trade; GSK-3 Inhibitor IX;1uv5;6-bromo-indirubin-3'oxime;BIO; 6-BIO;6-bromoindirubin-3''-oxime;2H-Indol-2-one, 6-bromo-3-[(3E)-1,3-dihydro-3-(hydroxyimino)-2H-indol-2-ylidene]-1,3-dihydro-, (3Z)-;MLS001074886;SCHEMBL470802;CHEMBL355496;GTPL5974;SCHEMBL4997980;SCHEMBL8246737;(2&prime;Z,3&prime;E)-6-Bromoindirubin-3&prime;-oxime;CHEMBL2178734;SCHEMBL14088703;SCHEMBL15565919;SCHEMBL21067440;CHEBI:91343;CTK8E9656;AOB4191;DTXSID60648023;EX-A689;HMS2230G20;HMS3229G18;HMS3262K08;HMS3265E19;HMS3265E20;HMS3265F19;HMS3265F20;HMS3374K01;HMS3413H16;HMS3648C22;HMS3653G17;HMS3677H16;BCP07234;BIO, >=98% (HPLC);Tox21_500773;(3Z)-6-bromo-3-[3-(hydroxyamino)indol-2-ylidene]-1H-indol-2-one;2268AH;BDBM50012188;BDBM50191406;GL6265;HSCI1_000232;MFCD08705318;NSC737347;NSC745931;s7198;ZINC18128386;ZINC18128389;AKOS024457468;AKOS026750263;AKOS030238964;AKOS032947350;ZINC100469404;ZINC100493712;CCG-101292;CCG-208082;CS-3360;DB03444;LP00773;NSC-737347;NSC-745931;SDCCGSBI-0633754.P001;NCGC00094112-01;NCGC00094112-02;NCGC00094112-03;NCGC00094112-04;NCGC00094112-06;NCGC00261458-01;4CA-0280;AK176375;AS-55790;DA-33591;HY-10580;SMR000568408;B4006;SW219792-1;KS-00001549;K00001;MLS-0388607.0001;SR-01000838093;6BIO;GSK 3 IX;GSK 3 Inhibitor IX;MLS 2052;SR-01000838093-3;Q27077902;Q27094369;Q27163220;(Z)-6'-Bromo-1H,1'H-[2,3']biindolylidene-3,2'-dione 3-oxime;(2E,3E)-6'-bromo-3-(hydroxyimino)-[2,3'-biindolinylidene]-2'-one;(2Z,3E)-6'-Bromo-3-(hydroxyimino)-[2,3'-biindolinylidene]-2'-one;(3Z)-6-Bromo-3-[(3E)-3-hydroxyimino-1H-indol-2-ylidene]-1H-indol-2-one;(3Z)-6-bromo-3-[(3E)-3-hydroxyiminoindolin-2-ylidene]indolin-2-one;(Z)-6''-Bromo-1H,1''H-[2,3'']biindolylidene-3,2''-dione 3-oxime;6-Bromo-3-[3-(hydroxyamino)-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one;6-bromo-3-[3-(hydroxyamino)-2H-indol-2-ylidene]-2,3-dihydro-1H-indol-2-one;6-Bromo-3-[3-(hydroxyimino)-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one;6-bromo-3-[3-(hydroxyimino)-2,3-dihydro-1h-indol-2-ylidene]-2,3-dihydro-1h-indol-2-one;(3Z)-6-bromo-3-[(3E)-3-(hydroxyimino)-1,3-dihydro-2H-indol-2-ylidene]-1,3-dihydro-2H-indol-2-one",Inhibitor of GSK3
25150857,https://pubchem.ncbi.nlm.nih.gov/compound/25150857,BIX01294,"BIX-01294;935693-62-2;BIX01294;N-(1-benzylpiperidin-4-yl)-6,7-dimethoxy-2-(4-methyl-1,4-diazepan-1-yl)quinazolin-4-amine;CHEMBL569864;SCHEMBL366593;GTPL7014;CHEBI:93986;AOB4774;EX-A698;C28H38N6O2;HMS3426K09;HMS3742K21;BCP06426;KS-00000T3R;BDBM50300028;ZINC36382102;AKOS015994529;AF-0051;CS-0894;SB19044;SDCCGSBI-0633794.P001;NCGC00185850-01;NCGC00185850-02;NCGC00185850-03;4-Quinazolinamine, 2-(hexahydro-4-methyl-1H-1,4-diazepin-1-yl)-6,7-dimethoxy-N-[1-(phenylmethyl)-4-p;AK174242;DA-40377;HY-10587;BIX-01294; BIX 01294;FT-0699828;X3565;A11763;W-5578;BRD-K26818574-001-01-4;Q27075320;N-(1-benzyl-4-piperidyl)-6,7-dimethoxy-2-(4-methyl-1,4-diazepan-1-yl)quinazolin-4-amine;4-Quinazolinamine, 2-(hexahydro-4-methyl-1H-1,4-diazepin-1-yl)-6,7-dimethoxy-N-[1-(phenylmethyl)-4-piperidinyl]-;BIX 01294, 2-(Hexahydro-4-methyl-1H-1,4-diazepin-1-yl)-6,7-dimethoxy-N-[1-(phenylmethyl)-4-piperidinyl]-4-quinazolinamine hydrate trihydrochloride;Q4A",Inhibitor of the G9a histone methyltransferase
53789347,https://pubchem.ncbi.nlm.nih.gov/substance/53789347,BML210,,Inhibitor of the HDAC
1080352,https://pubchem.ncbi.nlm.nih.gov/compound/1080352,BRD7389,"376382-11-5;BRD 7389;BRD7389;BAS 05532738;BRD-7389;LSM-4550;1-[(2-phenylethyl)amino]-3H-naphtho[1,2,3-de]quinoline-2,7-dione;ChemDiv3_007227;Oprea1_487649;CHEMBL4303592;SCHEMBL21461689;CHEBI:93967;CTK8F0265;DTXSID90360120;HMS1493I11;ZINC794937;STK874273;AKOS000594176;CCG-120899;MCULE-4982114754;IDI1_025137;NCGC00177846-03;HY-12185;CS-0003144;BRD-K15107389-001-01-0;Q27165722","Inhibitor of the RSK1, RSK2, and RSK3"
23891512,https://pubchem.ncbi.nlm.nih.gov/compound/23891512,BRD7552,"BRD7552;1137359-47-7;BRD 7552;PK04Pur_000261;AOB2459;EX-A2283;ZINC95798323;AKOS024458540;CCG-270395;CS-5345;NCGC00170412-01;HY-19694;BRD7552, >=98% (HPLC);S7363;PK04_094072;A14957;BRD-K72827552-001-02-2;1040E1_000045;alpha-D-Glucopyranoside, methyl, 2,3-bis(N-1,3-benzodioxol-5-ylcarbamate) 4-[N-[4-(ethoxycarbonyl)phenyl]carbamate];Ethyl 4-(((((2R,3R,4S,5R,6S)-4,5-bis((benzo[d][1,3]dioxol-5-ylcarbamoyl)oxy)-2-(hydroxymethyl)-6-methoxytetrahydro-2H-pyran-3-yl)oxy)carbonyl)amino)benzoate;Methyl [2,3-O-bis(Benzo[1,3]dioxol-5-yl-carbamoyl)]-4-O-(4-ethoxycarbonyl-phenylcarbamoyl)-?-D-glucopyranoside",Increase PDX1 promoter methylation at H3K4me3 (mark of active chromatin) and decrease H3K9me3 methylation (repressive mark)
9687,https://pubchem.ncbi.nlm.nih.gov/compound/9687,Bucladesine,,CAMP pathway activator
264,https://pubchem.ncbi.nlm.nih.gov/compound/264,Butyric acid,,_
512282,https://pubchem.ncbi.nlm.nih.gov/compound/512282,BX471,,Inhibitor of the CCR1
5943,https://pubchem.ncbi.nlm.nih.gov/compound/5943,Carbon tetrachloride,,_
11345983,https://pubchem.ncbi.nlm.nih.gov/compound/11345983,Cardiogenol C,"Cardiogenol C;671225-39-1;Ethanol, 2-[[2-[(4-methoxyphenyl)amino]-4-pyrimidinyl]amino]-;Cardiogenol;Cardiogenol C HCl;2-(2-(4-methoxyphenylamino)pyrimidin-4-ylamino)ethanol hydrochloride;2-[[2-(4-methoxyanilino)-4-pyrimidinyl]amino]ethanol;2-((2-((4-Methoxyphenyl)amino)pyrimidin-4-yl)amino)ethanol;SCHEMBL8286309;2-(4-Methoxyanilino)-4-(1-hydroxyethylamino)pyrimidine;CHEMBL1241078;BCBcMAP01_000249;CHEBI:93736;CTK8F8472;LKBSMPFEKIBRGC-UHFFFAOYSA-N;BCP16146;HSCI1_000039;ZINC13829356;AKOS015994753;API0007906;NCGC00165770-01;NCGC00165770-03;AS-47675;HY-12319;CS-0011058;BRD-K99174507-001-01-6;Q27165429;2-[[2-[(4-Methoxyphenyl)amino]-4-pyrimidinyl]amino]ethanol;2-({2-[(4-methoxyphenyl)amino]pyrimidin-4-yl}amino)ethan-1-ol",Inducer of cardiac differentiation
